k,alpha,jacobian_sr,stable
0.35,0.1438,0.5738948849153889,1
0.35,0.1542,0.5712915941098862,1
0.35,0.1646,0.5686905254941423,1
0.35,0.175,0.5660916735994964,1
0.35,0.1854,0.5634950329296461,1
0.35,0.1958,0.5609005979611397,1
0.35,0.2062,0.5583083631438648,1
0.35,0.2167,0.5557183229015366,1
0.35,0.2271,0.5531304716321961,1
0.35,0.2375,0.5505448037086873,1
0.35,0.2479,0.5479613134791489,1
0.35,0.2583,0.5453799952675006,1
0.35,0.2688,0.5428008433739334,1
0.35,0.2792,0.540223852075387,1
0.35,0.2896,0.5376490156260336,1
0.35,0.3,0.5350763282577625,1
